"x","ppi","psi","ii","e","r"
-1.18683612238146e-17,-1.52274970777917e-18,-1.18683595206548e-18,6.00286853818722e-18,0,6.66985396692022e-18
-5.19850720308652e-18,-6.66985428732999e-19,-5.19850530269511e-19,2.62934068680939e-18,0,2.92148946454765e-18
-2.27701784312861e-18,-2.92148777738256e-19,-2.27701775435799e-19,1.1516865012287e-18,0,1.27965174768471e-18
-9.97365891009555e-19,-1.27965246456013e-19,-9.97365579881539e-20,5.04455030740073e-19,0,5.60505574766918e-19
-4.36860376578668e-19,-5.60505440268449e-20,-4.36859899636115e-20,2.20958396972899e-19,0,2.45509263816324e-19
-1.91351024512406e-19,-2.45508668434246e-20,-1.91350703413695e-20,9.67829451546676e-20,0,1.07536594084892e-19
-8.38144254510907e-20,-1.07536489302247e-20,-8.38142688626864e-21,4.23916013776814e-20,0,4.71018620941883e-20
-3.67124497105087e-20,-4.71026071650689e-21,-3.67114514468398e-21,1.85692134619474e-20,0,2.06323391390069e-20
-1.60799570813846e-20,-2.06312567705953e-21,-1.60800487781933e-21,8.13189561772449e-21,0,9.0356054799126e-21
-7.04439762697722e-21,-9.03709862188107e-22,-7.04315240716792e-22,3.56360020337537e-21,0,3.95942877230321e-21
-3.08494652518076e-21,-3.95828568927843e-22,-3.08491232771693e-22,1.55981892169459e-21,0,1.73320037713983e-21
-1.35170532396957e-21,-1.73381455445237e-22,-1.35092647498574e-22,6.83699929028276e-22,0,7.59614501116461e-22
-5.92047937913059e-22,-7.59145720881853e-23,-5.91929785695512e-23,2.9982246117093e-22,0,3.33091302840018e-22
-2.58963787819217e-22,-3.32688416690883e-23,-2.59168172037014e-23,1.31314358674862e-22,0,1.45897870534942e-22
-1.1306803151375e-22,-1.45835118600802e-23,-1.13464957281207e-23,5.68399676141168e-23,0,6.32390153577248e-23
-4.98594972666976e-23,-6.39904774360796e-24,-4.97977092257322e-24,2.47650763377742e-23,0,2.75950680926459e-23
-2.22405596086404e-23,-2.82999175487174e-24,-2.13990315812477e-24,1.24939683819052e-23,0,1.36808344986548e-23
-8.5592339839831e-24,-1.18686611674953e-24,-9.14559492432408e-25,3.74883467857858e-24,0,4.30184462807332e-24
-4.3346838715518e-24,-5.53009949494732e-25,-3.68286714357777e-25,2.15669124181151e-24,0,2.38226577085154e-24
