"","C","ii","A","ppi","m","psi"
"106",-1.11022302462516e-14,-7.92133355007052e-05,0,-8.71346690507311e-05,-2.22044604925031e-14,-8.71346690507312e-05
"107",-1.11022302462516e-14,-7.12920019506694e-05,0,-7.84212021456581e-05,-2.22044604925031e-14,-7.84212021456581e-05
"108",-1.11022302462516e-14,-6.41628017555504e-05,0,-7.05790819310922e-05,-2.22044604925031e-14,-7.05790819310922e-05
"109",-1.11022302462516e-14,-5.7746521579978e-05,0,-6.3521173737983e-05,-2.22044604925031e-14,-6.3521173737983e-05
"110",-1.11022302462516e-14,-5.19718694219629e-05,0,-5.71690563641848e-05,-2.22044604925031e-14,-5.71690563641847e-05
"111",-1.11022302462516e-14,-4.67746824798707e-05,0,-5.14521507277662e-05,-2.22044604925031e-14,-5.14521507277662e-05
"112",-1.11022302462516e-14,-4.20972142317275e-05,0,-4.63069356549895e-05,-2.22044604925031e-14,-4.63069356549896e-05
"113",-1.11022302462516e-14,-3.78874928087108e-05,0,-4.16762420894907e-05,-2.22044604925031e-14,-4.16762420894906e-05
"114",-1.11022302462516e-14,-3.40987435277357e-05,0,-3.75086178805415e-05,-2.22044604925031e-14,-3.75086178805416e-05
"115",-1.11022302462516e-14,-3.06888691750662e-05,0,-3.37577560924874e-05,-2.22044604925031e-14,-3.37577560924874e-05
"116",-1.11022302462516e-14,-2.76199822575596e-05,0,-3.03819804832386e-05,-2.22044604925031e-14,-3.03819804832387e-05
"117",-1.11022302462516e-14,-2.48579840317689e-05,0,-2.73437824349149e-05,-2.22044604925031e-14,-2.73437824349148e-05
"118",-1.11022302462516e-14,-2.237218562854e-05,0,-2.46094041914233e-05,-2.22044604925031e-14,-2.46094041914233e-05
"119",-1.11022302462516e-14,-2.01349670657033e-05,0,-2.2148463772281e-05,-2.22044604925031e-14,-2.2148463772281e-05
"120",-1.11022302462516e-14,-1.8121470359185e-05,0,-1.99336173950529e-05,-2.22044604925031e-14,-1.99336173950529e-05
"121",-1.11022302462516e-14,-1.63093233232839e-05,0,-1.79402556555476e-05,-2.22044604925031e-14,-1.79402556555476e-05
"122",-1.11022302462516e-14,-1.46783909908688e-05,0,-1.61462300899928e-05,-2.22044604925031e-14,-1.61462300899928e-05
"123",-1.11022302462516e-14,-1.32105518918166e-05,0,-1.45316070809936e-05,-2.22044604925031e-14,-1.45316070809936e-05
"124",-1.11022302462516e-14,-1.18894967026176e-05,0,-1.30784463728942e-05,-2.22044604925031e-14,-1.30784463728942e-05
"125",-1.11022302462516e-14,-1.07005470323038e-05,0,-1.17706017356048e-05,-2.22044604925031e-14,-1.17706017356048e-05
"126",-1.11022302462516e-14,-9.63049232912544e-06,0,-1.05935415620443e-05,-2.22044604925031e-14,-1.05935415620443e-05
"127",-1.11022302462516e-14,-8.66744309623024e-06,0,-9.53418740583988e-06,-2.22044604925031e-14,-9.53418740583988e-06
"128",-1.11022302462516e-14,-7.80069878657252e-06,0,-8.58076866525586e-06,-2.22044604925031e-14,-8.58076866525589e-06
"129",-1.11022302462516e-14,-7.02062890791527e-06,0,-7.72269179873032e-06,-2.22044604925031e-14,-7.72269179873031e-06
"130",-1.11022302462516e-14,-6.3185660171064e-06,0,-6.95042261885728e-06,-2.22044604925031e-14,-6.95042261885727e-06
"131",-1.11022302462516e-14,-5.68670941534372e-06,0,-6.25538035697157e-06,-2.22044604925031e-14,-6.25538035697155e-06
"132",-1.11022302462516e-14,-5.11803847393077e-06,0,-5.62984232127438e-06,-2.22044604925031e-14,-5.62984232127439e-06
"133",-1.11022302462516e-14,-4.6062346265377e-06,0,-5.06685808914695e-06,-2.22044604925031e-14,-5.06685808914695e-06
"134",-1.11022302462516e-14,-4.14561116390127e-06,0,-4.56017228023225e-06,-2.22044604925031e-14,-4.56017228023226e-06
"135",-1.11022302462516e-14,-3.73105004738972e-06,0,-4.10415505220903e-06,-2.22044604925031e-14,-4.10415505220903e-06
"136",-1.11022302462516e-14,-3.35794504268544e-06,0,-3.69373954698813e-06,-2.22044604925031e-14,-3.69373954698813e-06
"137",-1.11022302462516e-14,-3.02215053850363e-06,0,-3.32436559228932e-06,-2.22044604925031e-14,-3.32436559228932e-06
"138",-1.11022302462516e-14,-2.71993548465327e-06,0,-2.99192903306038e-06,-2.22044604925031e-14,-2.99192903306038e-06
"139",-1.11022302462516e-14,-2.4479419361359e-06,0,-2.69273612975434e-06,-2.22044604925031e-14,-2.69273612975435e-06
"140",-1.11022302462516e-14,-2.20314774253966e-06,0,-2.42346251677892e-06,-2.22044604925031e-14,-2.42346251677891e-06
"141",-1.11022302462516e-14,-1.98283296830304e-06,0,-2.18111626510102e-06,-2.22044604925031e-14,-2.18111626510102e-06
"142",-1.11022302462516e-14,-1.78454967140335e-06,0,-1.96300463859091e-06,-2.22044604925031e-14,-1.96300463859092e-06
"143",-1.11022302462516e-14,-1.60609470428036e-06,0,-1.76670417473183e-06,-2.22044604925031e-14,-1.76670417473183e-06
"144",-1.11022302462516e-14,-1.44548523393906e-06,0,-1.59003375725864e-06,-2.22044604925031e-14,-1.59003375725864e-06
"145",-1.11022302462516e-14,-1.30093671044107e-06,0,-1.43103038153278e-06,-2.22044604925031e-14,-1.43103038153278e-06
"146",-1.11022302462516e-14,-1.17084303936227e-06,0,-1.28792734337949e-06,-2.22044604925031e-14,-1.2879273433795e-06
"147",-1.11022302462516e-14,-1.05375873547808e-06,0,-1.15913460904156e-06,-2.22044604925031e-14,-1.15913460904155e-06
"148",-1.11022302462516e-14,-9.48382861999664e-07,0,-1.04322114813739e-06,-2.22044604925031e-14,-1.04322114813739e-06
"149",-1.11022302462516e-14,-8.53544575817045e-07,0,-9.38899033323653e-07,-2.22044604925031e-14,-9.38899033323655e-07
"150",-1.11022302462516e-14,-7.68190118113909e-07,0,-8.45009129991287e-07,-2.22044604925031e-14,-8.45009129991289e-07
"151",-1.11022302462516e-14,-6.91371106371907e-07,0,-7.60508216992163e-07,-2.22044604925031e-14,-7.6050821699216e-07
