"","C","ii","A","ppi","m","psi"
"55",0.0183326431770325,-5.20417042793042e-15,0.0183326431770325,0.00203679440389184,0.0183326431770103,0
"56",0.0164992276308951,-1.17961196366423e-14,0.0164992276308951,0.00183311309665368,0.0164992276308951,0
"57",0.0148491823741992,8.15320033709099e-15,0.0148491823741992,0.00164980027486719,0.0148491823741992,0
"58",0.013364164917995,1.73472347597681e-16,0.013364164917995,0.00148481902255683,0.0133641649179728,0
"59",0.012027668059722,-1.56125112837913e-15,0.0120276680597442,0.00133633612818791,0.012027668059722,0
"60",0.0108248361574859,-4.5102810375397e-15,0.0108248361574859,0.00120270171178432,0.0108248361574859,0
"61",0.00974229981414165,-2.42861286636753e-15,0.00974229981414165,0.00108243088969893,0.00974229981411945,0
"62",0.00876802712368452,1.21430643318376e-15,0.00876802712368452,0.000974187273466091,0.00876802712366231,0
"63",0.0078911898171885,-1.82145964977565e-14,0.0078911898171885,0.000876768119066503,0.0078911898171885,0
"64",0.00710204281439974,3.48679418671338e-14,0.00710204281439974,0.000789090961208359,0.00710204281439974,0
"65",0.00639181583597104,-7.80625564189563e-15,0.00639181583599324,0.000710181584947827,0.00639181583597104,0
"66",0.00575261586792664,-2.74086309204336e-14,0.00575261586794884,0.000639163199456782,0.00575261586792664,0
"67",0.0051773393897836,8.67361737988404e-16,0.0051773393898058,0.000575246695665547,0.0051773393897836,0
"68",0.00465959338886712,-6.24500451351651e-15,0.00465959338886712,0.000517721877196995,0.00465959338886712,0
"69",0.00419362427983572,5.20417042793042e-16,0.00419362427983572,0.000465949568874571,0.00419362427983572,0
"70",0.0037742539380492,1.02348685082632e-14,0.0037742539380492,0.000419354514302231,0.0037742539380492,0
"71",0.00339682213408299,-4.04190569902596e-14,0.00339682213408299,0.000377418983724405,0.00339682213406078,0
"72",0.00305713472845692,1.42247325030098e-14,0.00305713472847913,0.000339677021215792,0.00305713472845692,0
"73",0.00275141704992876,-1.07552855510562e-14,0.00275141704992876,0.000305709267197547,0.00275141704992876,0
"74",0.00247627193834532,-3.64291929955129e-15,0.00247627193834532,0.000275138298417717,0.00247627193834532,0
"75",0.00222864198515804,4.5102810375397e-15,0.00222864198518025,0.000247624434516011,0.00222864198515804,0
"76",0.00200577555158343,5.72458747072346e-15,0.00200577555158343,0.000222861963476131,0.00200577555156123,0
"77",0.00180519618604436,-5.55111512312578e-15,0.00180519618604436,0.000200575744759562,0.00180519618599995,0
"78",0.00162467510098629,-6.76542155630955e-15,0.0016246751010085,0.000180518152185527,0.00162467510098629,0
"79",0.00146220640311334,1.11022302462516e-14,0.00146220640311334,0.000162466322287518,0.00146220640309114,0
"80",0.00131598480068718,-2.53269627492614e-14,0.00131598480068718,0.000146219678232792,0.00131598480066497,0
"81",0.0011843855412863,-1.56125112837913e-15,0.00118438554130851,0.00013159770074009,0.0011843855412863,0
"82",0.00106594635591595,-1.14491749414469e-14,0.00106594635593815,0.000118437922890434,0.00106594635591595,0
"83",0.000959351209006698,-4.16333634234434e-15,0.000959351209028902,0.000106594124277452,0.000959351209006698,0
"84",0.000863415673957313,-6.93889390390723e-15,0.000863415673957313,9.59347067385637e-05,0.000863415673957313,0
"85",0.00077707377108549,4.33680868994202e-15,0.000777073771107695,8.63412319419487e-05,0.00077707377108549,0
"86",0.000699366122258738,-6.41847686111419e-15,0.000699366122258738,7.77071053528555e-05,0.000699366122258738,0
"87",0.00062942928993337,-2.08166817117217e-15,0.00062942928993337,6.99363921192252e-05,0.000629429289955574,0
"88",0.000566486182673742,8.15320033709099e-15,0.000566486182673742,6.29427507236609e-05,0.000566486182651538,0
"89",0.000509837419992998,-4.16333634234434e-15,0.000509837419992998,5.66484738637321e-05,0.000509837419970793,0
"90",0.000458853561013939,-4.85722573273506e-15,0.000458853561013939,5.0983625017051e-05,0.000458853561013939,0
"91",0.000412968110174994,3.12250225675825e-15,0.000412968110174994,4.58852613694344e-05,0.000412968110174994,0
"92",0.000371671222398895,7.11236625150491e-15,0.000371671222421099,4.12967342712859e-05,0.000371671222398895,0
"93",0.000334504037979855,-1.04083408558608e-15,0.000334504038002059,3.71670600760734e-05,0.000334504037979855,0
"94",0.000301053583839916,-7.45931094670027e-15,0.000301053583862121,3.34503534289821e-05,0.000301053583839916,0
"95",0.000270948184688535,-1.28369537222284e-14,0.000270948184688535,3.01053175870815e-05,0.000270948184666331,0
"96",0.000243853333170563,4.5102810375397e-15,0.000243853333170563,2.70947854340637e-05,0.000243853333170563,0
"97",0.000219467973106013,-2.25514051876985e-14,0.000219467973106013,2.43853065697875e-05,0.000219467973083809,0
"98",0.000197521154099434,-9.8879238130678e-15,0.000197521154121638,2.19467756135204e-05,0.000197521154099434,0
"99",0.000177769021147967,-2.77555756156289e-15,0.000177769021147967,1.97520978421014e-05,0.000177769021147967,0
"100",0.000159992104808993,3.29597460435593e-15,0.000159992104808993,1.77768879234583e-05,0.000159992104786788,0
"101",0.000143992882795096,-2.98372437868011e-14,0.000143992882817301,1.59991989657928e-05,0.000143992882772892,0
"102",0.000129593585196375,-2.25514051876985e-15,0.000129593585196375,1.439927893087e-05,0.000129593585196375,0
"103",0.000116634219127221,-1.52655665885959e-14,0.000116634219127221,1.29593509614333e-05,0.000116634219105016,0
"104",0.000104970791081627,5.03069808033274e-15,0.000104970791081627,1.16634157836368e-05,0.000104970791081627,0
"105",9.44737070129875e-05,1.56125112837913e-15,9.44737070129875e-05,1.04970741328771e-05,9.44737070129875e-05,0
"106",8.50263322860201e-05,-1.17961196366423e-14,8.50263323082245e-05,9.44736669305839e-06,8.50263322860201e-05,0
"107",7.65236958022442e-05,1.6306400674182e-14,7.65236958244486e-05,8.50262997628299e-06,7.65236958022442e-05,0
"108",6.8871323599673e-05,6.76542155630955e-15,6.8871323599673e-05,7.65236694890619e-06,6.8871323599673e-05,0
"109",6.19841891147388e-05,-1.2490009027033e-14,6.19841891147388e-05,6.88713023372522e-06,6.19841890925343e-05,0
"110",5.5785768471317e-05,6.07153216591882e-15,5.5785768471317e-05,6.19841717316494e-06,5.57857684491125e-05,0
"111",5.02071902053203e-05,-4.5102810375397e-15,5.02071902275247e-05,5.57857546059174e-06,5.02071902053203e-05,0
"112",4.51864700545812e-05,-2.25514051876985e-15,4.51864700545812e-05,5.0207178976931e-06,4.51864700545812e-05,0
"113",4.06678221320789e-05,-3.29597460435593e-15,4.06678221320789e-05,4.51864608774769e-06,4.06678221320789e-05,0
"114",3.6601039177242e-05,-3.81639164714898e-15,3.6601039177242e-05,4.06678147487587e-06,3.6601039177242e-05,0
"115",3.29409346466747e-05,-6.93889390390723e-15,3.29409346688792e-05,3.66010332082243e-06,3.29409346466747e-05,0
"116",2.96468406935091e-05,-5.03069808033274e-15,2.96468407157136e-05,3.29409298483107e-06,2.96468406935091e-05,0
"117",2.6682156240021e-05,2.09901540593194e-14,2.6682156240021e-05,2.96468365804728e-06,2.66821562178166e-05,0
"118",2.4013940302936e-05,-5.20417042793042e-15,2.4013940302936e-05,2.66821530540565e-06,2.40139402807316e-05,0
"119",2.16125459973071e-05,-7.45931094670027e-15,2.16125459973071e-05,2.40139377862162e-06,2.16125459751026e-05,0
"120",1.94512911777522e-05,-2.1163626406917e-14,1.94512911999567e-05,2.16125439382968e-06,1.94512911555478e-05,0
"121",1.75061618978845e-05,-1.73472347597681e-16,1.75061618978845e-05,1.94512893464822e-06,1.750616187568e-05,0
