"","C","phi","ppi","ppitil","F","D","A","ii","v","r"
"26",0.0713515592042357,-0.0482531576871947,-0.0053850034001113,-0.0537199596284843,-0.243983126139657,-0.195740182958914,0.0794017564774485,-0.012099572039311,0,-0.0080605396035732
"27",0.0642128723048918,-0.0434363255083614,-0.00484532499638174,-0.0483479071462511,-0.219591334627933,-0.176163283825137,0.0714587445678205,-0.0108884676456414,0,-0.00725424704292928
"28",0.0577887254503473,-0.0390995637513769,-0.00435983849785042,-0.043513069998391,-0.19763747933631,-0.158544618791812,0.0643105728544091,-0.00979869188210362,0,-0.00652862914779093
"29",0.052007536951626,-0.0351951720529375,-0.00392308207864404,-0.0391617249124399,-0.177878003865961,-0.14268826191669,0.0578776548752824,-0.00881807036856811,0,-0.00587560980345958
"30",0.046804907583109,-0.0316801617497142,-0.00353014821329978,-0.0352455212254354,-0.160093662096394,-0.128417899098587,0.0520883822872298,-0.00793565406771359,0,-0.00528792215526833
"31",0.042122897711061,-0.0285157958108462,-0.0031766266996353,-0.0317209435823473,-0.144087095854717,-0.115574863300028,0.0468783233518177,-0.0071415952442087,0,-0.00475902736807829
"32",0.0379093775902506,-0.0256671726625246,-0.00285855367469889,-0.0285488283690016,-0.129680653144415,-0.104016366913107,0.0421895022768348,-0.0064270361158034,0,-0.00428304156950981
"33",0.0341174433444946,-0.023102849918244,-0.00257236596768474,-0.0256939285059432,-0.116714423201181,-0.0936139114322998,0.0379697511936783,-0.00578400887133752,0,-0.00385467014811866
"34",0.0307048919262032,-0.0207945043515956,-0.0023148602108896,-0.0231245217669818,-0.105044466953763,-0.0842518566040229,0.0341721273987128,-0.00520534587536703,0,-0.00346914866044792
"35",0.0276337490469958,-0.0187166247504367,-0.0020831561957147,-0.0208120582700366,-0.0945412235597298,-0.0758261330230381,0.0307543892442474,-0.00468459900434311,0,-0.00312218967965233
"36",0.0248698446935869,-0.0168462345777831,-0.00187466401957427,-0.0187308432223809,-0.0850880755774885,-0.0682430837641745,0.0276785247432132,-0.00421596717229307,0,-0.00280993498476885
"37",0.0223824313980714,-0.0151626416311723,-0.00168705462039638,-0.0168577513941726,-0.0765800570478481,-0.0614184220915859,0.0249103275585361,-0.0037942312035924,0,-0.00252891255189669
