"","C","phi","ppi","ppitil","F","D","A","ii","v","r"
"75",-4.98490138056695e-12,-2.98649993624167e-11,-1.17447082158563e-12,-1.17128529097954e-11,-2.76445533131664e-11,-1.71196390397199e-11,0,6.67868538251071e-13,4.92217353521846e-12,2.13307901441042e-12
"76",-3.47499806707674e-12,-2.08277839419679e-11,-8.19826121960897e-13,-8.1823436914874e-12,-1.91846538655227e-11,-1.18349774425042e-11,0,4.78263262326806e-13,3.44552147465293e-12,1.48769466021197e-12
"77",-2.4535928844216e-12,-1.46771483855446e-11,-5.6803370656749e-13,-5.71764857681956e-12,-1.33004718350094e-11,-8.14903700074865e-12,0,3.32893435039949e-13,2.41186503225705e-12,1.0462969688943e-12
"78",-1.72084568816899e-12,-1.03028696685215e-11,-3.97131898531371e-13,-3.98570065840431e-12,-9.14823772291129e-12,-5.56221735337203e-12,0,2.32106001085697e-13,1.68830552257993e-12,7.3002533357132e-13
"79",-1.19904086659517e-12,-7.19424519957101e-12,-2.74828940703617e-13,-2.75335310107039e-12,-6.26165785888588e-12,-3.77475828372553e-12,0,1.70176372993325e-13,1.18181386580595e-12,5.06934941789314e-13
"80",-8.54871728961371e-13,-5.09592368302947e-12,-1.8596760048821e-13,-1.88737914186277e-12,-4.2410519540681e-12,-2.53130849614536e-12,0,1.20910226275583e-13,8.27269706064167e-13,3.56143973481535e-13
"81",-5.77315972805081e-13,-3.45279360658424e-12,-1.30223256331855e-13,-1.31006316905768e-12,-2.8421709430404e-12,-1.66533453693773e-12,0,9.5062846483529e-14,5.79088794244917e-13,2.51133482607439e-13
"82",-3.99680288865056e-13,-2.35367281220533e-12,-8.75784258542653e-14,-8.99280649946377e-13,-1.87627691161651e-12,-1.06581410364015e-12,0,7.42461647718073e-14,4.05362155971442e-13,1.82641272337794e-13
"83",-2.88657986402541e-13,-1.73194791841524e-12,-5.83729120585069e-14,-5.99520433297585e-13,-1.21014309684142e-12,-6.55031584528842e-13,0,5.18682319317065e-14,2.83753509180009e-13,1.32619076830314e-13
"84",-1.99840144432528e-13,-1.15463194561016e-12,-3.76760046302184e-14,-3.99680288865056e-13,-7.32747196252603e-13,-3.66373598126302e-13,0,4.21537804662364e-14,1.98627456426006e-13,8.95442365619249e-14
"85",-1.33226762955019e-13,-7.99360577730113e-13,-2.86842371769885e-14,-2.66453525910038e-13,-4.32986979603811e-13,-1.88737914186277e-13,0,2.94902990916057e-14,1.39039219498205e-13,7.08380176432249e-14
"86",-8.88178419700125e-14,-5.21804821573824e-13,-1.6291479114049e-14,-1.22124532708767e-13,-2.1094237467878e-13,-9.99200722162641e-14,0,2.84494650060196e-14,9.73274536487432e-14,4.57817782056547e-14
"87",-5.55111512312578e-14,-3.44169137633799e-13,-8.3794641535779e-15,-8.88178419700125e-14,-8.88178419700125e-14,-2.22044604925031e-14,0,2.79290479632266e-14,6.81292175541202e-14,3.68289291595975e-14
"88",-1.11022302462516e-14,-6.66133814775094e-14,-7.15090339107457e-16,-2.22044604925031e-14,-2.22044604925031e-14,0,0,4.11129463806503e-14,4.76904522878841e-14,2.86441383023341e-14
"89",0,2.22044604925031e-14,-3.37651332978813e-15,0,0,0,0,2.8275992658422e-14,3.33833166015189e-14,4.44894597104385e-14
"90",0,2.22044604925031e-14,-3.19791473888007e-15,0,0,0,0,1.85615411929518e-14,2.33683216210632e-14,3.1473907397302e-14
"91",0,2.22044604925031e-14,-5.94670626851592e-21,0,0,0,0,1.6306400674182e-14,1.63578251347443e-14,1.85615471396581e-14
"92",0,2.22044604925031e-14,-1.60184816315786e-20,0,0,0,0,1.14491749414469e-14,1.1450477594321e-14,1.63064166926636e-14
"93",0,2.22044604925031e-14,-1.78149990830729e-20,0,0,0,0,7.97972798949331e-15,8.01533431602469e-15,1.1449192756446e-14
"94",0,2.22044604925031e-14,-8.09684019783068e-21,0,0,0,0,5.55111512312578e-15,5.61073402121728e-15,7.97973608633351e-15
"95",0,2.22044604925031e-14,5.93995761019756e-21,0,0,0,0,3.98986399474666e-15,3.9275138148521e-15,5.55110918316817e-15
"96",0,2.22044604925031e-14,1.76828102200966e-20,0,0,0,0,2.77555756156289e-15,2.74925967039647e-15,3.98984631193644e-15
"97",0,2.22044604925031e-14,2.29822531442524e-20,0,0,0,0,1.90819582357449e-15,1.92448176927753e-15,2.77553457930975e-15
"98",0,2.22044604925031e-14,2.00071941338895e-20,0,0,0,0,1.38777878078145e-15,1.34713723849427e-15,1.90817581638035e-15
"99",0,2.22044604925031e-14,1.02297340722728e-20,0,0,0,0,8.67361737988404e-16,9.42996066945988e-16,1.38776855104737e-15
"100",0,2.22044604925031e-14,4.16193901193935e-22,0,0,0,0,6.93889390390723e-16,6.60097246862192e-16,8.67361321794502e-16
"101",0,2.22044604925031e-14,-5.36607525051521e-21,0,0,0,0,5.20417042793042e-16,4.62068072803534e-16,6.93894756465973e-16
"102",0,2.22044604925031e-14,-6.77337460037104e-21,0,0,0,0,3.46944695195361e-16,3.23447650962474e-16,5.20423816167643e-16
"103",0,2.22044604925031e-14,-2.56818395232095e-21,0,0,0,0,1.73472347597681e-16,2.26413355673732e-16,3.46947263379314e-16
"104",0,2.22044604925031e-14,3.74102138473759e-21,0,0,0,0,1.73472347597681e-16,1.58489348971612e-16,1.73468606576296e-16
"105",0,2.22044604925031e-14,8.30063399342601e-21,0,0,0,0,1.73472347597681e-16,1.10942544280129e-16,1.73464046963687e-16
"106",0,2.22044604925031e-14,1.01875223554313e-20,0,0,0,0,0,7.76597809960899e-17,1.73462160075325e-16
"107",0,2.22044604925031e-14,8.43366191164247e-21,0,0,0,0,0,5.4361846697263e-17,-8.43366191164247e-21
"108",0,2.22044604925031e-14,4.05181442997841e-21,0,0,0,0,0,3.80532926880841e-17,-4.05181442997841e-21
"109",0,2.22044604925031e-14,4.4026614816868e-22,0,0,0,0,0,2.66373048816588e-17,-4.4026614816868e-22
"110",0,2.22044604925031e-14,-1.4166024168243e-21,0,0,0,0,0,1.86461134171612e-17,1.4166024168243e-21
"111",0,2.22044604925031e-14,-9.58823406275062e-22,0,0,0,0,0,1.30522793920128e-17,9.58823406275062e-22
"112",0,2.22044604925031e-14,8.41727717946092e-22,0,0,0,0,0,9.13659557440898e-18,-8.41727717946092e-22
"113",0,2.22044604925031e-14,2.73023157538095e-21,0,0,0,0,0,6.39561690208629e-18,-2.73023157538095e-21
"114",0,2.22044604925031e-14,4.12938607301659e-21,0,0,0,0,0,4.4769318314604e-18,-4.12938607301659e-21
"115",0,2.22044604925031e-14,4.24580673094573e-21,0,0,0,0,0,3.13385228202228e-18,-4.24580673094573e-21
"116",0,2.22044604925031e-14,2.73493344685907e-21,0,0,0,0,0,2.1936965974156e-18,-2.73493344685907e-21
"117",0,2.22044604925031e-14,7.65157144907462e-22,0,0,0,0,0,1.53558761819092e-18,-7.65157144907462e-22
"118",0,2.22044604925031e-14,-6.59934706468438e-22,0,0,0,0,0,1.07491133273364e-18,6.59934706468438e-22
"119",0,2.22044604925031e-14,-1.1779193438795e-21,0,0,0,0,0,7.52437932913549e-19,1.1779193438795e-21
"120",0,2.22044604925031e-14,-9.36782003962112e-22,0,0,0,0,0,5.26706553039485e-19,9.36782003962112e-22
"121",0,2.22044604925031e-14,-1.27891476623774e-23,0,0,0,0,0,3.68694587127639e-19,1.27891476623774e-23
"122",0,2.22044604925031e-14,9.83590831861681e-22,0,0,0,0,0,2.58086210989347e-19,-9.83590831861681e-22
"123",0,2.22044604925031e-14,1.44247298233408e-21,0,0,0,0,0,1.80660347692543e-19,-1.44247298233408e-21
"124",0,2.22044604925031e-14,1.28028159000118e-21,0,0,0,0,0,1.2646224338478e-19,-1.28028159000118e-21
"125",0,2.22044604925031e-14,6.22642759180301e-22,0,0,0,0,0,8.85235703693461e-20,-6.22642759180301e-22
"126",0,2.22044604925031e-14,-9.54540803696872e-23,0,0,0,0,0,6.19664992585423e-20,9.54540803696872e-23
"127",0,2.22044604925031e-14,-6.04835435039983e-22,0,0,0,0,0,4.33765494809796e-20,6.04835435039983e-22
"128",0,2.22044604925031e-14,-6.85864377709048e-22,0,0,0,0,0,3.03635846366857e-20,6.85864377709048e-22
"129",0,2.22044604925031e-14,-3.78879342930557e-22,0,0,0,0,0,2.125450924568e-20,3.78879342930557e-22
"130",0,2.22044604925031e-14,1.73927223421702e-22,0,0,0,0,0,1.4878156471976e-20,-1.73927223421702e-22
"131",0,2.22044604925031e-14,5.79242214381554e-22,0,0,0,0,0,1.04147095303832e-20,-5.79242214381554e-22
"132",0,2.22044604925031e-14,7.21826212535612e-22,0,0,0,0,0,7.29029667126824e-21,-7.21826212535612e-22
"133",0,2.22044604925031e-14,5.40379278174393e-22,0,0,0,0,0,5.10320766988777e-21,-5.40379278174393e-22
"134",0,2.22044604925031e-14,2.34981722910698e-22,0,0,0,0,0,3.57224536892144e-21,-2.34981722910698e-22
"135",0,2.22044604925031e-14,-1.17196407641907e-22,0,0,0,0,0,2.500571758245e-21,1.17196407641907e-22
"136",0,2.22044604925031e-14,-3.29672263253734e-22,0,0,0,0,0,1.7504002307715e-21,3.29672263253734e-22
"137",0,2.22044604925031e-14,-3.30396012164142e-22,0,0,0,0,0,1.22528016154005e-21,3.30396012164142e-22
"138",0,2.22044604925031e-14,-1.55541586402491e-22,0,0,0,0,0,8.57696113078037e-22,1.55541586402491e-22
"139",0,2.22044604925031e-14,4.82084664160634e-23,0,0,0,0,0,6.00387279154626e-22,-4.82084664160634e-23
"140",0,2.22044604925031e-14,1.87749327086638e-22,0,0,0,0,0,4.20271095408238e-22,-1.87749327086638e-22
"141",0,2.22044604925031e-14,2.15123439060756e-22,0,0,0,0,0,2.94189766785767e-22,-2.15123439060756e-22
"142",0,2.22044604925031e-14,1.37233877270131e-22,0,0,0,0,0,2.05932836750037e-22,-1.37233877270131e-22
"143",0,2.22044604925031e-14,-3.24698798521675e-24,0,0,0,0,0,1.44152985725026e-22,3.24698798521675e-24
"144",0,2.22044604925031e-14,-1.14881018558068e-22,0,0,0,0,0,1.00907090007518e-22,1.14881018558068e-22
"145",0,2.22044604925031e-14,-1.68143532343467e-22,0,0,0,0,0,7.06349630052625e-23,1.68143532343467e-22
"146",0,2.22044604925031e-14,-1.35290307812439e-22,0,0,0,0,0,4.94444741036838e-23,1.35290307812439e-22
"147",0,2.22044604925031e-14,-5.93254505662574e-23,0,0,0,0,0,3.46111318725786e-23,5.93254505662574e-23
"148",0,2.22044604925031e-14,2.49058983994834e-23,0,0,0,0,0,2.4227792310805e-23,-2.49058983994834e-23
"149",0,2.22044604925031e-14,7.7912928579792e-23,0,0,0,0,0,1.69594546175635e-23,-7.7912928579792e-23
"150",0,2.22044604925031e-14,7.67091036387902e-23,0,0,0,0,0,1.18716182322945e-23,-7.67091036387902e-23
"151",0,2.22044604925031e-14,4.16109553643811e-23,0,0,0,0,0,8.31013276260613e-24,-4.16109553643811e-23
"152",0,2.22044604925031e-14,0,0,0,0,0,0,5.81709293382429e-24,0
