"","C","ii","A","pi","m","zeta","r"
"140",-1.11022302462516e-14,1.73472347597681e-16,0,2.00013642439041e-17,-1.11022302462516e-14,-3.52283188106826e-22,-2.00013642439041e-17
"141",-1.11022302462516e-14,0,0,5.61761386684033e-17,-1.11022302462516e-14,-1.47426402175216e-22,1.17296208929277e-16
"142",-1.11022302462516e-14,0,0,3.25914090015171e-17,-1.11022302462516e-14,-3.00571506570165e-23,-3.25914090015171e-17
"143",-1.11022302462516e-14,-1.73472347597681e-16,0,3.6054574860797e-18,-1.11022302462516e-14,-2.60565442512491e-23,-3.6054574860797e-18
"144",-1.11022302462516e-14,0,0,8.71019133374471e-18,-1.11022302462516e-14,-8.78096018776734e-25,-1.82182538931425e-16
"145",-1.11022302462516e-14,1.73472347597681e-16,0,3.64669101321246e-17,-1.11022302462516e-14,5.25328979420145e-23,-3.64669101321246e-17
"146",-1.11022302462516e-14,-1.73472347597681e-16,0,6.68768738988791e-17,-1.11022302462516e-14,2.93650010550316e-23,1.06595473698802e-16
"147",-1.11022302462516e-14,0,0,2.60529873181451e-17,-1.11022302462516e-14,1.10659635534782e-22,-1.99525334915826e-16
"148",-1.11022302462516e-14,-6.41847686111419e-15,0,5.23274345513105e-17,-1.11022302462516e-14,1.58268897547762e-22,-5.23274345513105e-17
"149",-1.11022302462516e-14,1.23165366794353e-14,0,-1.02865774849272e-15,-1.11022302462516e-14,3.06579895275987e-22,-5.38981911262146e-15
"150",-1.11022302462516e-14,2.9316826744008e-14,0,-7.05068121943214e-16,-1.11022302462516e-14,4.61489525044531e-22,1.30216048013785e-14
"151",-1.11022302462516e-14,0,0,7.72449311698253e-15,-1.11022302462516e-14,3.23042667391892e-22,2.15923336270255e-14
